DATE,PRCP,SNOW,SNWD,TMIN,TMAX,date
2020-01-14,0.07,0.0,0.0,39.0,46.0,2020-01-14
2020-01-15,0.0,0.0,0.0,41.0,50.0,2020-01-15
2020-01-16,0.11,0.0,0.0,33.0,49.0,2020-01-16
2020-01-17,0.0,0.0,0.0,21.0,33.0,2020-01-17
2020-01-18,0.37,2.1,0.0,20.0,37.0,2020-01-18
2020-01-19,0.0,0.0,1.2,27.0,43.0,2020-01-19
2020-01-20,0.0,0.0,0.0,20.0,31.0,2020-01-20
2020-01-21,0.0,0.0,0.0,20.0,33.0,2020-01-21
2020-01-22,0.0,0.0,0.0,25.0,38.0,2020-01-22
2020-01-23,0.0,0.0,0.0,33.0,47.0,2020-01-23
2020-01-24,0.0,0.0,0.0,37.0,51.0,2020-01-24
2020-01-25,0.85,0.0,0.0,38.0,51.0,2020-01-25
2020-01-26,0.0,0.0,0.0,38.0,46.0,2020-01-26
2020-01-27,0.0,0.0,0.0,37.0,45.0,2020-01-27
2020-01-28,0.0,0.0,0.0,37.0,43.0,2020-01-28
2020-01-29,0.0,0.0,0.0,31.0,41.0,2020-01-29
2020-01-30,0.0,0.0,0.0,25.0,38.0,2020-01-30
2020-01-31,0.02,0.0,0.0,33.0,44.0,2020-01-31
2020-02-01,0.0,0.0,0.0,37.0,43.0,2020-02-01
2020-02-02,0.07,0.0,0.0,35.0,45.0,2020-02-02
2020-02-03,0.0,0.0,0.0,37.0,57.0,2020-02-03
2020-02-04,0.0,0.0,0.0,43.0,61.0,2020-02-04
2020-02-05,0.0,0.0,0.0,39.0,55.0,2020-02-05
2020-02-06,0.51,0.0,0.0,35.0,41.0,2020-02-06
2020-02-07,0.25,0.0,0.0,33.0,56.0,2020-02-07
2020-02-08,0.0,0.0,0.0,30.0,41.0,2020-02-08
2020-02-09,0.0,0.0,0.0,31.0,44.0,2020-02-09
2020-02-10,0.37,0.0,0.0,42.0,47.0,2020-02-10
2020-02-11,0.28,0.0,0.0,43.0,48.0,2020-02-11
