DATE,PRCP,SNOW,SNWD,TMIN,TMAX,date
2019-04-04,0.0,0.0,0.0,44.0,60.0,2019-04-04
2019-04-05,0.2,0.0,0.0,38.0,45.0,2019-04-05
2019-04-06,0.0,0.0,0.0,39.0,68.0,2019-04-06
2019-04-07,0.0,0.0,0.0,51.0,66.0,2019-04-07
2019-04-08,0.26,0.0,0.0,49.0,79.0,2019-04-08
2019-04-09,0.03,0.0,0.0,46.0,51.0,2019-04-09
2019-04-10,0.0,0.0,0.0,45.0,60.0,2019-04-10
2019-04-11,0.0,0.0,0.0,40.0,55.0,2019-04-11
2019-04-12,0.63,0.0,0.0,46.0,68.0,2019-04-12
2019-04-13,0.24,0.0,0.0,59.0,77.0,2019-04-13
2019-04-14,0.01,0.0,0.0,60.0,73.0,2019-04-14
2019-04-15,0.96,0.0,0.0,46.0,65.0,2019-04-15
2019-04-16,0.0,0.0,0.0,44.0,66.0,2019-04-16
2019-04-17,0.01,0.0,0.0,48.0,63.0,2019-04-17
2019-04-18,0.0,0.0,0.0,51.0,62.0,2019-04-18
2019-04-19,0.01,0.0,0.0,58.0,80.0,2019-04-19
2019-04-20,0.7,0.0,0.0,55.0,64.0,2019-04-20
2019-04-21,0.0,0.0,0.0,53.0,66.0,2019-04-21
2019-04-22,0.24,0.0,0.0,52.0,64.0,2019-04-22
2019-04-23,0.08,0.0,0.0,56.0,77.0,2019-04-23
2019-04-24,0.0,0.0,0.0,55.0,69.0,2019-04-24
2019-04-25,0.02,0.0,0.0,48.0,66.0,2019-04-25
2019-04-26,1.03,0.0,0.0,51.0,59.0,2019-04-26
2019-04-27,0.07,0.0,0.0,47.0,58.0,2019-04-27
2019-04-28,0.01,0.0,0.0,45.0,53.0,2019-04-28
2019-04-29,0.01,0.0,0.0,41.0,60.0,2019-04-29
2019-04-30,0.04,0.0,0.0,48.0,60.0,2019-04-30
2019-05-01,0.0,0.0,0.0,50.0,56.0,2019-05-01
2019-05-02,0.01,0.0,0.0,50.0,78.0,2019-05-02
2019-05-03,0.06,0.0,0.0,50.0,56.0,2019-05-03
2019-05-04,0.11,0.0,0.0,53.0,71.0,2019-05-04
2019-05-05,1.31,0.0,0.0,51.0,58.0,2019-05-05
2019-05-06,0.0,0.0,0.0,51.0,74.0,2019-05-06
2019-05-07,0.11,0.0,0.0,52.0,70.0,2019-05-07
2019-05-08,0.0,0.0,0.0,55.0,71.0,2019-05-08
2019-05-09,0.0,0.0,0.0,53.0,61.0,2019-05-09
2019-05-10,0.04,0.0,0.0,56.0,73.0,2019-05-10
2019-05-11,0.04,0.0,0.0,56.0,69.0,2019-05-11
2019-05-12,1.32,0.0,0.0,43.0,59.0,2019-05-12
2019-05-13,0.7,0.0,0.0,42.0,48.0,2019-05-13
2019-05-14,0.3,0.0,0.0,44.0,52.0,2019-05-14
2019-05-15,0.01,0.0,0.0,44.0,69.0,2019-05-15
2019-05-16,0.12,0.0,0.0,52.0,73.0,2019-05-16
2019-05-17,0.03,0.0,0.0,60.0,76.0,2019-05-17
2019-05-18,0.0,0.0,0.0,56.0,75.0,2019-05-18
2019-05-19,0.06,0.0,0.0,60.0,76.0,2019-05-19
2019-05-20,0.0,0.0,0.0,66.0,85.0,2019-05-20
2019-05-21,0.0,0.0,0.0,56.0,71.0,2019-05-21
2019-05-22,0.0,0.0,0.0,54.0,74.0,2019-05-22
2019-05-23,0.48,0.0,0.0,55.0,72.0,2019-05-23
2019-05-24,0.0,0.0,0.0,61.0,73.0,2019-05-24
2019-05-25,0.0,0.0,0.0,55.0,71.0,2019-05-25
2019-05-26,0.2,0.0,0.0,59.0,86.0,2019-05-26
2019-05-27,0.0,0.0,0.0,64.0,80.0,2019-05-27
2019-05-28,0.17,0.0,0.0,62.0,71.0,2019-05-28
2019-05-29,0.8,0.0,0.0,56.0,70.0,2019-05-29
2019-05-30,0.95,0.0,0.0,57.0,70.0,2019-05-30
2019-05-31,0.0,0.0,0.0,63.0,80.0,2019-05-31
2019-06-01,0.0,0.0,0.0,63.0,80.0,2019-06-01
2019-06-02,0.86,0.0,0.0,61.0,81.0,2019-06-02
2019-06-03,0.0,0.0,0.0,58.0,70.0,2019-06-03
2019-06-04,0.0,0.0,0.0,54.0,70.0,2019-06-04
2019-06-05,0.0,0.0,0.0,64.0,81.0,2019-06-05
2019-06-06,0.04,0.0,0.0,68.0,83.0,2019-06-06
2019-06-07,0.0,0.0,0.0,66.0,81.0,2019-06-07
2019-06-08,0.0,0.0,0.0,63.0,81.0,2019-06-08
2019-06-09,0.0,0.0,0.0,60.0,78.0,2019-06-09
2019-06-10,0.62,0.0,0.0,60.0,70.0,2019-06-10
2019-06-11,0.45,0.0,0.0,63.0,77.0,2019-06-11
2019-06-12,0.0,0.0,0.0,59.0,74.0,2019-06-12
2019-06-13,0.6,0.0,0.0,55.0,65.0,2019-06-13
2019-06-14,0.0,0.0,0.0,58.0,73.0,2019-06-14
2019-06-15,0.0,0.0,0.0,60.0,81.0,2019-06-15
2019-06-16,0.04,0.0,0.0,65.0,80.0,2019-06-16
2019-06-17,0.0,0.0,0.0,69.0,76.0,2019-06-17
2019-06-18,0.79,0.0,0.0,67.0,73.0,2019-06-18
2019-06-19,0.11,0.0,0.0,66.0,71.0,2019-06-19
2019-06-20,0.42,0.0,0.0,65.0,78.0,2019-06-20
2019-06-21,0.53,0.0,0.0,65.0,77.0,2019-06-21
2019-06-22,0.0,0.0,0.0,61.0,79.0,2019-06-22
2019-06-23,0.0,0.0,0.0,64.0,83.0,2019-06-23
2019-06-24,0.0,0.0,0.0,67.0,84.0,2019-06-24
2019-06-25,0.86,0.0,0.0,72.0,84.0,2019-06-25
2019-06-26,0.0,0.0,0.0,72.0,87.0,2019-06-26
2019-06-27,0.0,0.0,0.0,71.0,89.0,2019-06-27
2019-06-28,0.0,0.0,0.0,73.0,89.0,2019-06-28
2019-06-29,0.08,0.0,0.0,72.0,91.0,2019-06-29
2019-06-30,0.06,0.0,0.0,69.0,83.0,2019-06-30
2019-07-01,0.0,0.0,0.0,65.0,85.0,2019-07-01
2019-07-02,0.02,0.0,0.0,71.0,85.0,2019-07-02
2019-07-03,0.0,0.0,0.0,75.0,87.0,2019-07-03
2019-07-04,0.0,0.0,0.0,74.0,90.0,2019-07-04
2019-07-05,0.0,0.0,0.0,72.0,86.0,2019-07-05
2019-07-06,0.0,0.0,0.0,76.0,90.0,2019-07-06
2019-07-07,0.0,0.0,0.0,72.0,86.0,2019-07-07
2019-07-08,0.04,0.0,0.0,68.0,78.0,2019-07-08
2019-07-09,0.0,0.0,0.0,69.0,87.0,2019-07-09
2019-07-10,0.0,0.0,0.0,74.0,88.0,2019-07-10
2019-07-11,0.79,0.0,0.0,73.0,87.0,2019-07-11
2019-07-12,0.0,0.0,0.0,72.0,87.0,2019-07-12
2019-07-13,0.0,0.0,0.0,70.0,85.0,2019-07-13
2019-07-14,0.0,0.0,0.0,76.0,89.0,2019-07-14
2019-07-15,0.0,0.0,0.0,68.0,85.0,2019-07-15
2019-07-16,0.0,0.0,0.0,72.0,91.0,2019-07-16
2019-07-17,1.82,0.0,0.0,73.0,93.0,2019-07-17
2019-07-18,0.51,0.0,0.0,71.0,79.0,2019-07-18
2019-07-19,0.0,0.0,0.0,71.0,91.0,2019-07-19
2019-07-20,0.0,0.0,0.0,82.0,95.0,2019-07-20
2019-07-21,0.0,0.0,0.0,80.0,95.0,2019-07-21
2019-07-22,1.66,0.0,0.0,72.0,90.0,2019-07-22
2019-07-23,0.53,0.0,0.0,67.0,74.0,2019-07-23
2019-07-24,0.02,0.0,0.0,67.0,83.0,2019-07-24
2019-07-25,0.0,0.0,0.0,70.0,84.0,2019-07-25
2019-07-26,0.0,0.0,0.0,69.0,88.0,2019-07-26
2019-07-27,0.0,0.0,0.0,72.0,85.0,2019-07-27
2019-07-28,0.01,0.0,0.0,71.0,88.0,2019-07-28
2019-07-29,0.0,0.0,0.0,73.0,90.0,2019-07-29
2019-07-30,0.01,0.0,0.0,78.0,92.0,2019-07-30
2019-07-31,0.36,0.0,0.0,70.0,87.0,2019-07-31
2019-08-01,0.0,0.0,0.0,70.0,87.0,2019-08-01
2019-08-02,0.0,0.0,0.0,73.0,84.0,2019-08-02
2019-08-03,0.21,0.0,0.0,68.0,86.0,2019-08-03
2019-08-04,0.0,0.0,0.0,69.0,87.0,2019-08-04
2019-08-05,0.0,0.0,0.0,70.0,82.0,2019-08-05
2019-08-06,0.04,0.0,0.0,71.0,79.0,2019-08-06
2019-08-07,1.18,0.0,0.0,69.0,84.0,2019-08-07
2019-08-08,0.2,0.0,0.0,67.0,84.0,2019-08-08
2019-08-09,0.08,0.0,0.0,68.0,83.0,2019-08-09
2019-08-10,0.0,0.0,0.0,66.0,81.0,2019-08-10
2019-08-11,0.0,0.0,0.0,63.0,80.0,2019-08-11
2019-08-12,0.0,0.0,0.0,68.0,85.0,2019-08-12
2019-08-13,0.07,0.0,0.0,71.0,79.0,2019-08-13
2019-08-14,0.0,0.0,0.0,73.0,84.0,2019-08-14
2019-08-15,0.0,0.0,0.0,70.0,85.0,2019-08-15
2019-08-16,0.0,0.0,0.0,68.0,79.0,2019-08-16
2019-08-17,0.0,0.0,0.0,73.0,87.0,2019-08-17
2019-08-18,0.64,0.0,0.0,70.0,90.0,2019-08-18
2019-08-19,0.0,0.0,0.0,72.0,90.0,2019-08-19
2019-08-20,0.0,0.0,0.0,75.0,88.0,2019-08-20
2019-08-21,0.1,0.0,0.0,74.0,87.0,2019-08-21
2019-08-22,1.01,0.0,0.0,71.0,90.0,2019-08-22
2019-08-23,0.09,0.0,0.0,65.0,74.0,2019-08-23
2019-08-24,0.0,0.0,0.0,64.0,76.0,2019-08-24
2019-08-25,0.0,0.0,0.0,63.0,77.0,2019-08-25
2019-08-26,0.0,0.0,0.0,61.0,74.0,2019-08-26
2019-08-27,0.0,0.0,0.0,62.0,75.0,2019-08-27
2019-08-28,0.08,0.0,0.0,67.0,74.0,2019-08-28
2019-08-29,0.0,0.0,0.0,65.0,81.0,2019-08-29
2019-08-30,0.0,0.0,0.0,67.0,86.0,2019-08-30
2019-08-31,0.0,0.0,0.0,69.0,81.0,2019-08-31
2019-09-01,0.0,0.0,0.0,63.0,78.0,2019-09-01
2019-09-02,0.3,0.0,0.0,69.0,74.0,2019-09-02
2019-09-03,0.0,0.0,0.0,67.0,82.0,2019-09-03
2019-09-04,0.0,0.0,0.0,68.0,87.0,2019-09-04
2019-09-05,0.0,0.0,0.0,65.0,74.0,2019-09-05
2019-09-06,0.32,0.0,0.0,58.0,67.0,2019-09-06
2019-09-07,0.02,0.0,0.0,56.0,75.0,2019-09-07
2019-09-08,0.0,0.0,0.0,63.0,77.0,2019-09-08
2019-09-09,0.0,0.0,0.0,64.0,78.0,2019-09-09
2019-09-10,0.01,0.0,0.0,66.0,76.0,2019-09-10
2019-09-11,0.0,0.0,0.0,69.0,88.0,2019-09-11
2019-09-12,0.17,0.0,0.0,61.0,81.0,2019-09-12
2019-09-13,0.0,0.0,0.0,57.0,72.0,2019-09-13
2019-09-14,0.0,0.0,0.0,61.0,74.0,2019-09-14
2019-09-15,0.0,0.0,0.0,68.0,82.0,2019-09-15
2019-09-16,0.0,0.0,0.0,68.0,77.0,2019-09-16
2019-09-17,0.0,0.0,0.0,62.0,76.0,2019-09-17
2019-09-18,0.0,0.0,0.0,57.0,69.0,2019-09-18
2019-09-19,0.0,0.0,0.0,52.0,70.0,2019-09-19
2019-09-20,0.0,0.0,0.0,56.0,78.0,2019-09-20
2019-09-21,0.0,0.0,0.0,61.0,84.0,2019-09-21
2019-09-22,0.0,0.0,0.0,67.0,86.0,2019-09-22
2019-09-23,0.11,0.0,0.0,70.0,89.0,2019-09-23
2019-09-24,0.0,0.0,0.0,63.0,76.0,2019-09-24
2019-09-25,0.0,0.0,0.0,58.0,79.0,2019-09-25
2019-09-26,0.02,0.0,0.0,63.0,83.0,2019-09-26
2019-09-27,0.0,0.0,0.0,59.0,76.0,2019-09-27
2019-09-28,0.0,0.0,0.0,65.0,82.0,2019-09-28
2019-09-29,0.0,0.0,0.0,65.0,80.0,2019-09-29
2019-09-30,0.0,0.0,0.0,60.0,71.0,2019-09-30
2019-10-01,0.0,0.0,0.0,63.0,81.0,2019-10-01
2019-10-02,0.03,0.0,0.0,63.0,93.0,2019-10-02
2019-10-03,0.34,0.0,0.0,53.0,63.0,2019-10-03
2019-10-04,0.0,0.0,0.0,50.0,66.0,2019-10-04
2019-10-05,0.0,0.0,0.0,45.0,61.0,2019-10-05
2019-10-06,0.01,0.0,0.0,57.0,70.0,2019-10-06
2019-10-07,0.2,0.0,0.0,59.0,79.0,2019-10-07
2019-10-08,0.02,0.0,0.0,57.0,64.0,2019-10-08
2019-10-09,0.54,0.0,0.0,51.0,59.0,2019-10-09
2019-10-10,0.0,0.0,0.0,53.0,71.0,2019-10-10
2019-10-11,0.0,0.0,0.0,55.0,64.0,2019-10-11
2019-10-12,0.0,0.0,0.0,55.0,67.0,2019-10-12
2019-10-13,0.0,0.0,0.0,53.0,67.0,2019-10-13
2019-10-14,0.0,0.0,0.0,58.0,72.0,2019-10-14
2019-10-15,0.0,0.0,0.0,51.0,64.0,2019-10-15
2019-10-16,1.83,0.0,0.0,52.0,66.0,2019-10-16
2019-10-17,0.0,0.0,0.0,51.0,57.0,2019-10-17
2019-10-18,0.0,0.0,0.0,47.0,58.0,2019-10-18
2019-10-19,0.0,0.0,0.0,43.0,60.0,2019-10-19
2019-10-20,0.54,0.0,0.0,49.0,59.0,2019-10-20
2019-10-21,0.0,0.0,0.0,51.0,67.0,2019-10-21
2019-10-22,0.57,0.0,0.0,55.0,63.0,2019-10-22
2019-10-23,0.01,0.0,0.0,54.0,65.0,2019-10-23
2019-10-24,0.0,0.0,0.0,50.0,67.0,2019-10-24
2019-10-25,0.0,0.0,0.0,52.0,65.0,2019-10-25
2019-10-26,0.01,0.0,0.0,52.0,63.0,2019-10-26
2019-10-27,1.38,0.0,0.0,55.0,67.0,2019-10-27
2019-10-28,0.0,0.0,0.0,55.0,63.0,2019-10-28
2019-10-29,0.07,0.0,0.0,54.0,59.0,2019-10-29
2019-10-30,0.06,0.0,0.0,58.0,63.0,2019-10-30
2019-10-31,0.54,0.0,0.0,60.0,71.0,2019-10-31
2019-11-01,0.11,0.0,0.0,42.0,71.0,2019-11-01
2019-11-02,0.0,0.0,0.0,40.0,53.0,2019-11-02
2019-11-03,0.0,0.0,0.0,42.0,54.0,2019-11-03
2019-11-04,0.0,0.0,0.0,41.0,56.0,2019-11-04
2019-11-05,0.0,0.0,0.0,51.0,61.0,2019-11-05
2019-11-06,0.0,0.0,0.0,45.0,54.0,2019-11-06
2019-11-07,0.1,0.0,0.0,41.0,57.0,2019-11-07
2019-11-08,0.0,0.0,0.0,29.0,41.0,2019-11-08
2019-11-09,0.0,0.0,0.0,27.0,41.0,2019-11-09
2019-11-10,0.0,0.0,0.0,38.0,51.0,2019-11-10
2019-11-11,0.0,0.0,0.0,46.0,62.0,2019-11-11
2019-11-12,0.04,0.0,0.0,25.0,57.0,2019-11-12
2019-11-13,0.0,0.0,0.0,23.0,34.0,2019-11-13
2019-11-14,0.0,0.0,0.0,28.0,45.0,2019-11-14
2019-11-15,0.0,0.0,0.0,37.0,51.0,2019-11-15
2019-11-16,0.0,0.0,0.0,31.0,42.0,2019-11-16
2019-11-17,0.0,0.0,0.0,30.0,43.0,2019-11-17
2019-11-18,0.48,0.0,0.0,37.0,42.0,2019-11-18
2019-11-19,0.18,0.0,0.0,40.0,48.0,2019-11-19
2019-11-20,0.0,0.0,0.0,40.0,49.0,2019-11-20
2019-11-21,0.0,0.0,0.0,39.0,53.0,2019-11-21
2019-11-22,0.07,0.0,0.0,38.0,53.0,2019-11-22
2019-11-23,0.03,0.0,0.0,34.0,45.0,2019-11-23
2019-11-24,0.9,0.0,0.0,40.0,46.0,2019-11-24
2019-11-25,0.0,0.0,0.0,39.0,53.0,2019-11-25
2019-11-26,0.0,0.0,0.0,44.0,61.0,2019-11-26
2019-11-27,0.04,0.0,0.0,49.0,59.0,2019-11-27
2019-11-28,0.0,0.0,0.0,37.0,53.0,2019-11-28
2019-11-29,0.0,0.0,0.0,30.0,40.0,2019-11-29
2019-11-30,0.0,0.0,0.0,31.0,43.0,2019-11-30
2019-12-01,0.62,0.0,0.0,30.0,39.0,2019-12-01
2019-12-02,0.48,1.3,0.0,31.0,37.0,2019-12-02
2019-12-03,0.02,0.3,1.2,30.0,36.0,2019-12-03
2019-12-04,0.0,0.0,0.0,32.0,39.0,2019-12-04
2019-12-05,0.0,0.0,0.0,36.0,42.0,2019-12-05
2019-12-06,0.0,0.0,0.0,34.0,50.0,2019-12-06
2019-12-07,0.0,0.0,0.0,30.0,38.0,2019-12-07
2019-12-08,0.0,0.0,0.0,28.0,46.0,2019-12-08
2019-12-09,1.57,0.0,0.0,42.0,55.0,2019-12-09
2019-12-10,0.13,0.0,0.0,39.0,58.0,2019-12-10
2019-12-11,0.26,0.2,0.0,31.0,40.0,2019-12-11
2019-12-12,0.0,0.0,0.0,26.0,36.0,2019-12-12
2019-12-13,0.81,0.0,0.0,33.0,48.0,2019-12-13
2019-12-14,1.16,0.0,0.0,45.0,56.0,2019-12-14
2019-12-15,0.0,0.0,0.0,37.0,49.0,2019-12-15
2019-12-16,0.1,0.0,0.0,33.0,37.0,2019-12-16
2019-12-17,0.9,0.0,0.0,32.0,35.0,2019-12-17
2019-12-18,0.03,0.7,0.0,21.0,36.0,2019-12-18
2019-12-19,0.0,0.0,0.0,16.0,25.0,2019-12-19
2019-12-20,0.0,0.0,0.0,22.0,33.0,2019-12-20
2019-12-21,0.0,0.0,0.0,23.0,35.0,2019-12-21
2019-12-22,0.0,0.0,0.0,30.0,46.0,2019-12-22
2019-12-23,0.0,0.0,0.0,41.0,57.0,2019-12-23
2019-12-24,0.0,0.0,0.0,36.0,47.0,2019-12-24
2019-12-25,0.0,0.0,0.0,32.0,47.0,2019-12-25
2019-12-26,0.0,0.0,0.0,36.0,46.0,2019-12-26
2019-12-27,0.0,0.0,0.0,46.0,54.0,2019-12-27
2019-12-28,0.0,0.0,0.0,43.0,51.0,2019-12-28
2019-12-29,0.25,0.0,0.0,39.0,44.0,2019-12-29
2019-12-30,0.74,0.0,0.0,37.0,41.0,2019-12-30
2019-12-31,0.02,0.0,0.0,36.0,45.0,2019-12-31
2020-01-01,0.0,0.0,0.0,34.0,41.0,2020-01-01
2020-01-02,0.0,0.0,0.0,33.0,49.0,2020-01-02
2020-01-03,0.15,0.0,0.0,44.0,49.0,2020-01-03
2020-01-04,0.27,0.0,0.0,41.0,51.0,2020-01-04
2020-01-05,0.0,0.0,0.0,35.0,42.0,2020-01-05
2020-01-06,0.04,0.2,0.0,32.0,45.0,2020-01-06
2020-01-07,0.0,0.0,0.0,36.0,45.0,2020-01-07
2020-01-08,0.0,0.0,0.0,28.0,42.0,2020-01-08
2020-01-09,0.0,0.0,0.0,23.0,34.0,2020-01-09
2020-01-10,0.0,0.0,0.0,33.0,55.0,2020-01-10
2020-01-11,0.0,0.0,0.0,51.0,69.0,2020-01-11
2020-01-12,0.05,0.0,0.0,43.0,68.0,2020-01-12
2020-01-13,0.0,0.0,0.0,37.0,46.0,2020-01-13
