prcp,tmin,tmax,rh_mean,rh_max,dew_point,solar_rad,cloud_cover,daylight_hours,sunshine_hours,is_weekend,is_holiday,day_of_week,tavg,hdd,cdd,tavg_3day,cdd_3day,hdd_3day,tavg_lag1,lag_0,lag_1,lag_2,lag_3,lag_7,lag_14,lag_21,lag_28,lag_365,lag_366,rolling_7,rolling_30
0.85,38.0,51.0,93,99,39.3,0.94,82,9.86,0.0,1,0,5,44.5,5.5,0.0,42.8,0.0,7.2,44.0,126400,135154.0,139314.0,143862.0,137365.0,119972.0,122924.0,119817.0,141638.0,139935.0,138914.3,133113.6
0.0,38.0,46.0,75,93,31.4,7.73,33,9.89,8.74,1,0,6,42.0,8.0,0.0,43.5,0.0,6.5,44.5,122177,126400.0,135154.0,139314.0,126410.0,116201.0,123997.0,120531.0,134276.0,141638.0,137347.9,132927.6
0.0,37.0,45.0,67,85,27.7,5.6,56,9.93,5.63,0,0,0,41.0,9.0,0.0,42.5,0.0,7.5,42.0,136627,122177.0,126400.0,135154.0,142280.0,132956.0,138154.0,134843.0,127404.0,134276.0,136743.1,132683.4
0.0,37.0,43.0,63,82,25.4,6.11,71,9.96,3.26,0,0,1,40.0,10.0,0.0,41.0,0.0,9.0,41.0,136552,136627.0,122177.0,126400.0,148015.0,134513.0,136907.0,131905.0,145347.0,127404.0,135935.6,133243.7
0.0,31.0,41.0,59,78,19.7,11.55,22,10.0,9.75,0,0,2,36.0,14.0,0.0,39.0,0.0,11.0,40.0,138459,136552.0,136627.0,122177.0,143862.0,132082.0,140076.0,124168.0,146703.0,145347.0,134298.0,133777.8
0.0,25.0,38.0,67,90,18.4,10.61,51,10.03,9.47,0,0,3,31.5,18.5,0.0,35.8,0.0,14.2,36.0,140924,138459.0,136552.0,136627.0,139314.0,134558.0,144582.0,135759.0,153858.0,146703.0,133526.1,133898.3
0.02,33.0,44.0,83,95,30.8,5.77,82,10.07,4.19,0,0,4,38.5,11.5,0.0,35.3,0.0,14.7,31.5,137659,140924.0,138459.0,136552.0,135154.0,144695.0,137402.0,133483.0,166578.0,153858.0,133756.1,134198.9
0.0,37.0,43.0,94,99,34.8,3.43,86,10.1,0.0,1,0,5,40.0,10.0,0.0,36.7,0.0,13.3,38.5,125498,137659.0,140924.0,138459.0,126400.0,137365.0,119972.0,122924.0,163256.0,166578.0,134114.0,134648.6
0.07,35.0,45.0,84,100,31.8,6.28,90,10.14,3.25,1,0,6,40.0,10.0,0.0,39.5,0.0,10.5,40.0,122930,125498.0,137659.0,140924.0,122177.0,126410.0,116201.0,123997.0,145804.0,163256.0,133985.1,134306.6
0.0,37.0,57.0,77,100,34.6,11.33,43,10.18,9.79,0,0,0,47.0,3.0,0.0,42.3,0.0,7.7,40.0,133021,122930.0,125498.0,137659.0,136627.0,142280.0,132956.0,138154.0,131390.0,145804.0,134092.7,133954.8
0.0,43.0,61.0,90,97,42.2,4.53,96,10.21,2.22,0,0,1,52.0,0.0,0.0,46.3,0.0,4.3,47.0,132023,133021.0,122930.0,125498.0,136552.0,148015.0,134513.0,136907.0,137369.0,131390.0,133577.6,134291.4
0.0,39.0,55.0,70,93,30.8,3.42,100,10.25,0.0,0,0,2,47.0,3.0,0.0,48.7,0.0,2.0,52.0,133837,132023.0,133021.0,122930.0,138459.0,143862.0,132082.0,140076.0,132731.0,137369.0,132930.6,134558.9
0.51,35.0,41.0,92,98,37.1,2.64,100,10.29,0.0,0,0,3,38.0,12.0,0.0,45.7,0.0,5.0,47.0,136492,133837.0,132023.0,133021.0,140924.0,139314.0,134558.0,144582.0,134941.0,132731.0,132270.3,134415.0
0.25,33.0,56.0,80,99,34.1,5.57,91,10.33,4.41,0,0,4,44.5,5.5,0.0,43.2,0.0,6.8,38.0,135744,136492.0,133837.0,132023.0,137659.0,135154.0,144695.0,137402.0,137591.0,134941.0,131637.1,134401.2
0.0,30.0,41.0,53,82,17.6,9.73,39,10.37,7.44,1,0,5,35.5,14.5,0.0,39.3,0.0,10.7,44.5,127588,135744.0,136492.0,133837.0,125498.0,126400.0,137365.0,119972.0,136194.0,137591.0,131363.6,134256.8
0.0,31.0,44.0,81,96,28.5,8.13,72,10.41,8.68,1,0,6,37.5,12.5,0.0,39.2,0.0,10.8,35.5,124149,127588.0,135744.0,136492.0,122930.0,122177.0,126410.0,116201.0,133854.0,136194.0,131662.1,133690.3
0.37,42.0,47.0,87,97,38.1,2.45,100,10.45,0.0,0,0,0,44.5,5.5,0.0,39.2,0.0,10.8,37.5,135691,124149.0,127588.0,135744.0,133021.0,136627.0,142280.0,132956.0,132123.0,133854.0,131836.3,133248.6
0.28,43.0,48.0,96,99,42.0,2.4,99,10.49,0.48,0,0,1,45.5,4.5,0.0,42.5,0.0,7.5,44.5,133740,135691.0,124149.0,127588.0,132023.0,136552.0,148015.0,134513.0,143162.0,132123.0,132217.7,133772.5
